Kelompok 9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
Responden 279,1,3,3,2,1,2,5,1
Responden 280,4,3,3,3,3,3,4,1
Responden 281,4,3,3,4,4,1,5,4
Responden 282,3,3,3,2,4,2,4,1
Responden 283,5,2,2,1,4,2,2,4
Responden 284,5,4,4,2,5,2,5,4
Responden 285,3,5,3,3,4,4,3,2
Responden 286,4,4,3,5,5,2,4,4
Responden 287,3,3,3,3,5,3,5,1
Responden 288,4,4,4,4,3,2,4,4
Responden 289,3,3,4,4,2,4,4,3
Responden 290,4,1,1,4,5,1,5,2
Responden 291,4,2,2,2,4,2,5,5
Responden 292,4,3,3,2,4,3,5,4
Responden 293,5,3,3,3,3,3,5,4
Responden 294,4,3,3,2,3,3,4,3
Responden 295,4,4,4,3,3,3,5,4
Responden 296,4,1,2,4,5,1,5,3
Responden 297,4,2,4,3,5,4,3,1
Responden 298,4,3,3,3,5,3,3,4
Responden 299,5,2,2,3,3,3,5,1
Responden 300,4,3,3,2,4,3,5,4
Responden 301,4,4,4,3,5,2,3,1
Responden 302,5,2,3,2,4,3,4,4
Responden 303,4,2,2,3,5,3,5,2
Responden 304,5,5,5,4,4,2,4,3
Responden 305,4,4,4,2,5,2,3,1
Responden 306,4,3,3,2,4,1,3,4
Responden 307,5,3,3,3,5,3,5,4
Responden 308,4,2,2,4,4,2,4,3
Responden 309,5,4,4,4,5,2,5,4
Responden 310,3,3,1,1,4,2,5,4
Responden 311,5,4,5,2,4,2,2,4
Responden 312,5,2,3,5,4,4,3,5
Responden 313,1,1,1,4,5,1,5,2
Responden 314,1,3,3,1,2,4,2,5
Responden 315,5,3,3,3,5,3,5,4
Responden 316,4,2,2,3,4,2,4,4
Responden 317,5,4,3,1,5,3,4,5
Responden 318,4,3,2,4,3,4,3,1
Responden 319,4,4,3,3,4,3,4,2
Responden 320,4,2,2,4,4,2,4,2
Responden 321,4,3,2,4,4,2,4,3
Responden 322,5,3,4,3,3,3,3,2
Responden 323,3,2,4,2,4,2,3,4
Responden 324,4,4,4,1,3,3,3,5
Responden 325,5,5,3,3,5,2,4,1
Responden 326,4,2,1,2,5,1,5,4
Responden 327,4,3,3,5,5,2,3,4
Responden 328,4,4,3,4,3,3,4,4
Responden 329,2,3,1,4,4,4,4,2
Responden 330,4,3,3,3,4,3,4,3
Responden 331,4,5,4,3,1,5,2,2
Responden 332,4,4,3,2,3,3,3,2
Responden 333,4,2,4,2,3,5,2,3
Responden 334,4,4,3,2,4,4,4,4
Responden 335,1,3,2,4,4,3,2,4
Responden 336,4,3,4,3,5,3,4,1
Responden 337,2,3,2,4,2,4,3,2
Responden 338,3,5,4,2,3,3,2,1
Responden 339,4,3,2,4,2,5,3,4
Responden 340,3,2,2,2,4,4,4,2
Responden 341,4,3,3,2,4,2,3,4
Responden 342,4,3,2,4,5,5,5,4
Responden 343,1,3,3,1,2,4,2,5
Responden 344,4,4,4,4,4,4,4,2
Responden 345,4,3,3,4,4,3,5,2
Responden 346,1,3,3,2,1,2,5,1
Responden 347,4,3,3,4,4,1,5,4
Responden 348,5,2,2,1,4,2,2,4
Responden 349,4,4,3,5,5,2,4,4
Responden 350,4,4,4,4,3,2,4,4
Responden 351,4,1,1,4,5,1,5,2
Responden 352,4,3,3,2,4,3,5,4
Responden 353,4,3,3,2,3,3,4,3
Responden 354,4,3,3,4,2,2,5,4
Responden 355,4,3,3,1,4,4,3,4
Responden 356,2,3,2,4,5,2,3,2
Responden 357,5,5,4,3,5,4,3,1
Responden 358,2,2,3,2,5,3,3,1
Responden 359,4,3,3,4,4,4,3,4
Responden 360,4,3,2,4,3,4,3,1
Responden 361,4,3,3,4,4,2,4,4
Responden 362,2,3,4,4,3,3,2,2
Responden 363,4,3,3,1,1,5,4,2
Responden 364,3,3,2,4,4,3,4,2
Responden 365,4,4,3,3,5,4,4,2
Responden 366,4,4,3,4,2,2,4,1
Responden 367,4,4,4,3,5,4,5,4
Responden 368,4,4,4,3,4,3,3,2
Responden 369,3,2,2,3,5,2,4,1
Responden 370,4,4,3,4,5,2,4,4
Responden 371,3,2,2,3,5,2,4,1
Responden 372,4,4,3,4,3,3,4,4
Responden 373,4,3,3,2,4,3,4,3
Responden 374,5,4,3,1,5,1,5,4
Responden 375,5,4,4,3,2,4,4,4
Responden 376,2,1,2,3,5,1,3,2
Responden 377,3,4,5,2,5,4,4,4
Responden 378,4,3,3,4,2,2,5,4
Responden 379,5,4,4,2,3,4,4,4
Responden 380,5,4,4,2,2,4,4,5
Responden 381,4,4,4,3,3,3,5,4
Responden 382,4,2,4,3,5,4,3,1
Responden 383,5,2,2,3,3,3,5,1
Responden 384,4,4,4,3,5,2,3,1
Responden 385,4,2,2,3,5,3,5,2
Responden 386,4,4,4,2,5,2,3,1
Responden 387,5,4,4,4,5,2,5,4
Responden 388,4,2,2,1,5,2,3,3
Responden 389,4,2,2,3,4,2,4,4
Responden 390,5,4,3,1,5,3,4,5
Responden 391,4,1,1,2,4,1,5,4
Responden 392,4,3,3,4,4,2,4,2
Responden 393,3,3,2,4,4,3,4,2
Responden 394,4,3,3,4,4,2,4,2
Responden 395,4,4,4,3,4,3,3,2
Responden 396,4,2,2,3,2,4,2,4
Responden 397,4,3,4,2,3,3,4,2
Responden 398,4,2,2,2,5,1,3,3
Responden 399,4,3,3,2,5,3,3,4
